,Bakke Kirke,Timestamp
4,169,2015-05-11 14:00:00
9,1019,2015-05-11 15:00:00
14,1074,2015-05-11 16:00:00
19,723,2015-05-11 17:00:00
24,617,2015-05-11 18:00:00
29,591,2015-05-11 19:00:00
34,550,2015-05-11 20:00:00
39,436,2015-05-11 21:00:00
44,346,2015-05-11 22:00:00
49,195,2015-05-11 23:00:00
54,87,2015-05-12 00:00:00
59,49,2015-05-12 01:00:00
64,48,2015-05-12 02:00:00
69,40,2015-05-12 03:00:00
74,32,2015-05-12 04:00:00
79,58,2015-05-12 05:00:00
84,235,2015-05-12 06:00:00
89,615,2015-05-12 07:00:00
94,866,2015-05-12 08:00:00
99,663,2015-05-12 09:00:00
104,686,2015-05-12 10:00:00
109,731,2015-05-12 11:00:00
114,753,2015-05-12 12:00:00
119,779,2015-05-12 13:00:00
124,842,2015-05-12 14:00:00
129,1064,2015-05-12 15:00:00
134,1055,2015-05-12 16:00:00
139,797,2015-05-12 17:00:00
144,717,2015-05-12 18:00:00
149,628,2015-05-12 19:00:00
154,697,2015-05-12 20:00:00
159,603,2015-05-12 21:00:00
164,420,2015-05-12 22:00:00
169,272,2015-05-12 23:00:00
174,149,2015-05-13 00:00:00
179,81,2015-05-13 01:00:00
184,71,2015-05-13 02:00:00
189,50,2015-05-13 03:00:00
194,50,2015-05-13 04:00:00
199,63,2015-05-13 05:00:00
204,269,2015-05-13 06:00:00
209,658,2015-05-13 07:00:00
214,918,2015-05-13 08:00:00
219,727,2015-05-13 09:00:00
224,769,2015-05-13 10:00:00
229,819,2015-05-13 11:00:00
234,894,2015-05-13 12:00:00
239,971,2015-05-13 13:00:00
244,939,2015-05-13 14:00:00
249,1111,2015-05-13 15:00:00
254,1140,2015-05-13 16:00:00
259,810,2015-05-13 17:00:00
264,744,2015-05-13 18:00:00
269,679,2015-05-13 19:00:00
274,628,2015-05-13 20:00:00
279,437,2015-05-13 21:00:00
284,397,2015-05-13 22:00:00
289,378,2015-05-13 23:00:00
294,318,2015-05-14 00:00:00
299,288,2015-05-14 01:00:00
304,216,2015-05-14 02:00:00
309,169,2015-05-14 03:00:00
314,72,2015-05-14 04:00:00
319,55,2015-05-14 05:00:00
324,47,2015-05-14 06:00:00
329,80,2015-05-14 07:00:00
334,138,2015-05-14 08:00:00
339,176,2015-05-14 09:00:00
344,276,2015-05-14 10:00:00
349,352,2015-05-14 11:00:00
354,480,2015-05-14 12:00:00
359,567,2015-05-14 13:00:00
364,654,2015-05-14 14:00:00
369,726,2015-05-14 15:00:00
374,607,2015-05-14 16:00:00
379,676,2015-05-14 17:00:00
384,661,2015-05-14 18:00:00
389,604,2015-05-14 19:00:00
394,637,2015-05-14 20:00:00
399,442,2015-05-14 21:00:00
404,349,2015-05-14 22:00:00
409,318,2015-05-14 23:00:00
414,243,2015-05-15 00:00:00
419,181,2015-05-15 01:00:00
424,188,2015-05-15 02:00:00
429,93,2015-05-15 03:00:00
434,38,2015-05-15 04:00:00
439,40,2015-05-15 05:00:00
444,190,2015-05-15 06:00:00
449,449,2015-05-15 07:00:00
454,570,2015-05-15 08:00:00
459,584,2015-05-15 09:00:00
464,740,2015-05-15 10:00:00
469,886,2015-05-15 11:00:00
474,1002,2015-05-15 12:00:00
479,991,2015-05-15 13:00:00
484,1066,2015-05-15 14:00:00
489,1132,2015-05-15 15:00:00
494,1021,2015-05-15 16:00:00
499,867,2015-05-15 17:00:00
504,754,2015-05-15 18:00:00
509,613,2015-05-15 19:00:00
514,682,2015-05-15 20:00:00
519,469,2015-05-15 21:00:00
524,434,2015-05-15 22:00:00
529,491,2015-05-15 23:00:00
534,474,2015-05-16 00:00:00
539,386,2015-05-16 01:00:00
544,333,2015-05-16 02:00:00
549,206,2015-05-16 03:00:00
554,104,2015-05-16 04:00:00
559,69,2015-05-16 05:00:00
564,79,2015-05-16 06:00:00
569,105,2015-05-16 07:00:00
574,151,2015-05-16 08:00:00
579,325,2015-05-16 09:00:00
584,458,2015-05-16 10:00:00
589,653,2015-05-16 11:00:00
594,747,2015-05-16 12:00:00
599,899,2015-05-16 13:00:00
604,906,2015-05-16 14:00:00
609,925,2015-05-16 15:00:00
614,805,2015-05-16 16:00:00
619,783,2015-05-16 17:00:00
624,586,2015-05-16 18:00:00
629,571,2015-05-16 19:00:00
634,684,2015-05-16 20:00:00
639,526,2015-05-16 21:00:00
644,458,2015-05-16 22:00:00
649,527,2015-05-16 23:00:00
654,526,2015-05-17 00:00:00
659,422,2015-05-17 01:00:00
664,455,2015-05-17 02:00:00
669,322,2015-05-17 03:00:00
674,132,2015-05-17 04:00:00
679,82,2015-05-17 05:00:00
684,88,2015-05-17 06:00:00
689,116,2015-05-17 07:00:00
694,323,2015-05-17 08:00:00
699,522,2015-05-17 09:00:00
704,488,2015-05-17 10:00:00
709,615,2015-05-17 11:00:00
714,663,2015-05-17 12:00:00
719,523,2015-05-17 13:00:00
724,820,2015-05-17 14:00:00
729,757,2015-05-17 15:00:00
734,686,2015-05-17 16:00:00
739,666,2015-05-17 17:00:00
744,552,2015-05-17 18:00:00
749,632,2015-05-17 19:00:00
754,613,2015-05-17 20:00:00
759,444,2015-05-17 21:00:00
764,412,2015-05-17 22:00:00
769,324,2015-05-17 23:00:00
774,207,2015-05-18 00:00:00
779,168,2015-05-18 01:00:00
784,147,2015-05-18 02:00:00
789,145,2015-05-18 03:00:00
794,60,2015-05-18 04:00:00
799,78,2015-05-18 05:00:00
804,231,2015-05-18 06:00:00
809,620,2015-05-18 07:00:00
814,832,2015-05-18 08:00:00
819,636,2015-05-18 09:00:00
824,621,2015-05-18 10:00:00
829,774,2015-05-18 11:00:00
834,776,2015-05-18 12:00:00
839,721,2015-05-18 13:00:00
844,807,2015-05-18 14:00:00
849,977,2015-05-18 15:00:00
854,878,2015-05-18 16:00:00
859,725,2015-05-18 17:00:00
864,581,2015-05-18 18:00:00
869,553,2015-05-18 19:00:00
874,484,2015-05-18 20:00:00
879,408,2015-05-18 21:00:00
884,310,2015-05-18 22:00:00
889,200,2015-05-18 23:00:00
894,97,2015-05-19 00:00:00
899,48,2015-05-19 01:00:00
904,48,2015-05-19 02:00:00
909,33,2015-05-19 03:00:00
914,29,2015-05-19 04:00:00
919,49,2015-05-19 05:00:00
924,240,2015-05-19 06:00:00
929,645,2015-05-19 07:00:00
934,865,2015-05-19 08:00:00
939,650,2015-05-19 09:00:00
944,647,2015-05-19 10:00:00
949,657,2015-05-19 11:00:00
954,766,2015-05-19 12:00:00
959,789,2015-05-19 13:00:00
964,812,2015-05-19 14:00:00
969,948,2015-05-19 15:00:00
974,912,2015-05-19 16:00:00
979,692,2015-05-19 17:00:00
984,622,2015-05-19 18:00:00
989,544,2015-05-19 19:00:00
994,545,2015-05-19 20:00:00
999,401,2015-05-19 21:00:00
1004,305,2015-05-19 22:00:00
1009,204,2015-05-19 23:00:00
1014,98,2015-05-20 00:00:00
1019,45,2015-05-20 01:00:00
1024,51,2015-05-20 02:00:00
1029,35,2015-05-20 03:00:00
1034,49,2015-05-20 04:00:00
1039,63,2015-05-20 05:00:00
1044,226,2015-05-20 06:00:00
1049,636,2015-05-20 07:00:00
1054,879,2015-05-20 08:00:00
1059,672,2015-05-20 09:00:00
1064,654,2015-05-20 10:00:00
1069,705,2015-05-20 11:00:00
1074,762,2015-05-20 12:00:00
1079,773,2015-05-20 13:00:00
1084,847,2015-05-20 14:00:00
1089,1024,2015-05-20 15:00:00
1094,1022,2015-05-20 16:00:00
1099,759,2015-05-20 17:00:00
1104,705,2015-05-20 18:00:00
1109,555,2015-05-20 19:00:00
1114,508,2015-05-20 20:00:00
1119,456,2015-05-20 21:00:00
1124,307,2015-05-20 22:00:00
1129,252,2015-05-20 23:00:00
1134,104,2015-05-21 00:00:00
1139,68,2015-05-21 01:00:00
1144,75,2015-05-21 02:00:00
1149,46,2015-05-21 03:00:00
1154,42,2015-05-21 04:00:00
1159,53,2015-05-21 05:00:00
1164,234,2015-05-21 06:00:00
1169,658,2015-05-21 07:00:00
1174,889,2015-05-21 08:00:00
1179,664,2015-05-21 09:00:00
1184,657,2015-05-21 10:00:00
1189,718,2015-05-21 11:00:00
1194,786,2015-05-21 12:00:00
1199,831,2015-05-21 13:00:00
1204,843,2015-05-21 14:00:00
1209,1067,2015-05-21 15:00:00
1214,1079,2015-05-21 16:00:00
1219,822,2015-05-21 17:00:00
1224,736,2015-05-21 18:00:00
1229,648,2015-05-21 19:00:00
1234,593,2015-05-21 20:00:00
1239,424,2015-05-21 21:00:00
1244,399,2015-05-21 22:00:00
1249,257,2015-05-21 23:00:00
1254,140,2015-05-22 00:00:00
1259,113,2015-05-22 01:00:00
1264,133,2015-05-22 02:00:00
1269,57,2015-05-22 03:00:00
1274,38,2015-05-22 04:00:00
1279,61,2015-05-22 05:00:00
1284,246,2015-05-22 06:00:00
1289,586,2015-05-22 07:00:00
1294,816,2015-05-22 08:00:00
1299,708,2015-05-22 09:00:00
1304,796,2015-05-22 10:00:00
1309,878,2015-05-22 11:00:00
1314,869,2015-05-22 12:00:00
1319,956,2015-05-22 13:00:00
1324,1007,2015-05-22 14:00:00
1329,1155,2015-05-22 15:00:00
1334,1138,2015-05-22 16:00:00
1339,775,2015-05-22 17:00:00
1344,634,2015-05-22 18:00:00
1349,541,2015-05-22 19:00:00
1354,487,2015-05-22 20:00:00
1359,406,2015-05-22 21:00:00
1364,302,2015-05-22 22:00:00
1369,376,2015-05-22 23:00:00
1374,299,2015-05-23 00:00:00
1379,235,2015-05-23 01:00:00
1384,308,2015-05-23 02:00:00
1389,176,2015-05-23 03:00:00
1394,66,2015-05-23 04:00:00
1399,49,2015-05-23 05:00:00
1404,61,2015-05-23 06:00:00
1409,103,2015-05-23 07:00:00
1414,151,2015-05-23 08:00:00
1419,260,2015-05-23 09:00:00
1424,467,2015-05-23 10:00:00
1429,584,2015-05-23 11:00:00
1434,787,2015-05-23 12:00:00
