Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Volum,Ikke gyldig lengde,Lengdedekningsgrad (%),Felt,Felt gyldig fra,Felt gyldig til,< 5,6m,> 5,6m,5,6m - 7,6m,7,6m - 12,5m,12,5m - 16,0m,16,0m - 24,0m,> 24,0m
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T10:00+02:00,2018-06-06T11:00+02:00,6,0,100,00,1,2018-06-06T10:57:00.453+02:00,,5,1,1,0,0,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T10:00+02:00,2018-06-06T11:00+02:00,8,3,62,50,2,2018-06-06T10:57:00.453+02:00,,5,0,0,0,0,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T10:00+02:00,2018-06-06T11:00+02:00,14,-,-,Totalt,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T11:00+02:00,2018-06-06T12:00+02:00,324,3,99,07,1,2018-06-06T10:57:00.453+02:00,,302,19,16,3,0,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T11:00+02:00,2018-06-06T12:00+02:00,280,133,52,50,2,2018-06-06T10:57:00.453+02:00,,133,14,10,3,1,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T11:00+02:00,2018-06-06T12:00+02:00,604,-,-,Totalt,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T12:00+02:00,2018-06-06T13:00+02:00,354,10,97,18,1,2018-06-06T10:57:00.453+02:00,,324,20,19,0,1,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T12:00+02:00,2018-06-06T13:00+02:00,264,123,53,41,2,2018-06-06T10:57:00.453+02:00,,127,14,10,1,3,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T12:00+02:00,2018-06-06T13:00+02:00,618,-,-,Totalt,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T13:00+02:00,2018-06-06T14:00+02:00,351,6,98,29,1,2018-06-06T10:57:00.453+02:00,,325,20,17,2,1,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T13:00+02:00,2018-06-06T14:00+02:00,251,116,53,78,2,2018-06-06T10:57:00.453+02:00,,120,15,13,2,0,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T13:00+02:00,2018-06-06T14:00+02:00,602,-,-,Totalt,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T14:00+02:00,2018-06-06T15:00+02:00,403,10,97,52,1,2018-06-06T10:57:00.453+02:00,,379,14,14,0,0,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T14:00+02:00,2018-06-06T15:00+02:00,276,135,51,09,2,2018-06-06T10:57:00.453+02:00,,128,13,12,0,1,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T14:00+02:00,2018-06-06T15:00+02:00,679,-,-,Totalt,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T15:00+02:00,2018-06-06T16:00+02:00,526,31,94,11,1,2018-06-06T10:57:00.453+02:00,,464,31,18,6,2,5,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T15:00+02:00,2018-06-06T16:00+02:00,290,136,53,10,2,2018-06-06T10:57:00.453+02:00,,141,13,9,2,0,1,1,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T15:00+02:00,2018-06-06T16:00+02:00,816,-,-,Totalt,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T16:00+02:00,2018-06-06T17:00+02:00,438,25,94,29,1,2018-06-06T10:57:00.453+02:00,,393,20,12,3,2,3,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T16:00+02:00,2018-06-06T17:00+02:00,260,129,50,38,2,2018-06-06T10:57:00.453+02:00,,126,5,4,1,0,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T16:00+02:00,2018-06-06T17:00+02:00,698,-,-,Totalt,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T17:00+02:00,2018-06-06T18:00+02:00,329,4,98,78,1,2018-06-06T10:57:00.453+02:00,,318,7,4,3,0,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T17:00+02:00,2018-06-06T18:00+02:00,248,111,55,24,2,2018-06-06T10:57:00.453+02:00,,130,7,5,1,0,0,1,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T17:00+02:00,2018-06-06T18:00+02:00,577,-,-,Totalt,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T18:00+02:00,2018-06-06T19:00+02:00,275,4,98,55,1,2018-06-06T10:57:00.453+02:00,,265,6,5,1,0,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T18:00+02:00,2018-06-06T19:00+02:00,176,92,47,73,2,2018-06-06T10:57:00.453+02:00,,79,5,2,2,1,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T18:00+02:00,2018-06-06T19:00+02:00,451,-,-,Totalt,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T19:00+02:00,2018-06-06T20:00+02:00,221,3,98,64,1,2018-06-06T10:57:00.453+02:00,,214,4,3,1,0,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T19:00+02:00,2018-06-06T20:00+02:00,139,85,38,85,2,2018-06-06T10:57:00.453+02:00,,51,3,3,0,0,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T19:00+02:00,2018-06-06T20:00+02:00,360,-,-,Totalt,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T20:00+02:00,2018-06-06T21:00+02:00,231,3,98,70,1,2018-06-06T10:57:00.453+02:00,,219,9,8,1,0,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T20:00+02:00,2018-06-06T21:00+02:00,127,66,48,03,2,2018-06-06T10:57:00.453+02:00,,60,1,1,0,0,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T20:00+02:00,2018-06-06T21:00+02:00,358,-,-,Totalt,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T21:00+02:00,2018-06-06T22:00+02:00,190,3,98,42,1,2018-06-06T10:57:00.453+02:00,,180,7,6,1,0,0,0,,,,,,,,,,
21801V72158,Brattorbrua,ET6 HP 52 Meter 187,2018-06-06T21:00+02:00,2018-06-06T22:00+02:00,83,41,50,60,2,2018-06-06T10:57:00.453+02:00,,37,5,4,0,0,1,0,,,,,,,,,,
