,traffic,Datetime
2,14,2018-06-06 11:00:00
5,604,2018-06-06 12:00:00
8,618,2018-06-06 13:00:00
11,602,2018-06-06 14:00:00
14,679,2018-06-06 15:00:00
17,816,2018-06-06 16:00:00
20,698,2018-06-06 17:00:00
23,577,2018-06-06 18:00:00
26,451,2018-06-06 19:00:00
29,360,2018-06-06 20:00:00
32,358,2018-06-06 21:00:00
35,273,2018-06-06 22:00:00
38,195,2018-06-06 23:00:00
41,127,2018-06-07 00:00:00
44,48,2018-06-07 01:00:00
47,33,2018-06-07 02:00:00
50,28,2018-06-07 03:00:00
53,20,2018-06-07 04:00:00
56,20,2018-06-07 05:00:00
59,49,2018-06-07 06:00:00
62,200,2018-06-07 07:00:00
65,603,2018-06-07 08:00:00
68,785,2018-06-07 09:00:00
71,618,2018-06-07 10:00:00
74,624,2018-06-07 11:00:00
77,594,2018-06-07 12:00:00
80,671,2018-06-07 13:00:00
83,697,2018-06-07 14:00:00
86,735,2018-06-07 15:00:00
89,762,2018-06-07 16:00:00
92,782,2018-06-07 17:00:00
95,570,2018-06-07 18:00:00
98,532,2018-06-07 19:00:00
101,383,2018-06-07 20:00:00
104,328,2018-06-07 21:00:00
107,275,2018-06-07 22:00:00
110,278,2018-06-07 23:00:00
113,163,2018-06-08 00:00:00
116,59,2018-06-08 01:00:00
119,56,2018-06-08 02:00:00
122,31,2018-06-08 03:00:00
125,26,2018-06-08 04:00:00
128,25,2018-06-08 05:00:00
131,56,2018-06-08 06:00:00
134,219,2018-06-08 07:00:00
137,588,2018-06-08 08:00:00
140,797,2018-06-08 09:00:00
143,618,2018-06-08 10:00:00
146,602,2018-06-08 11:00:00
149,701,2018-06-08 12:00:00
152,698,2018-06-08 13:00:00
155,703,2018-06-08 14:00:00
158,802,2018-06-08 15:00:00
161,807,2018-06-08 16:00:00
164,687,2018-06-08 17:00:00
167,536,2018-06-08 18:00:00
170,436,2018-06-08 19:00:00
173,361,2018-06-08 20:00:00
176,373,2018-06-08 21:00:00
179,201,2018-06-08 22:00:00
182,239,2018-06-08 23:00:00
185,251,2018-06-09 00:00:00
188,203,2018-06-09 01:00:00
191,179,2018-06-09 02:00:00
194,199,2018-06-09 03:00:00
197,79,2018-06-09 04:00:00
200,43,2018-06-09 05:00:00
203,27,2018-06-09 06:00:00
206,45,2018-06-09 07:00:00
209,92,2018-06-09 08:00:00
212,122,2018-06-09 09:00:00
215,273,2018-06-09 10:00:00
218,373,2018-06-09 11:00:00
221,454,2018-06-09 12:00:00
224,550,2018-06-09 13:00:00
227,514,2018-06-09 14:00:00
230,544,2018-06-09 15:00:00
233,512,2018-06-09 16:00:00
236,478,2018-06-09 17:00:00
239,480,2018-06-09 18:00:00
242,456,2018-06-09 19:00:00
245,296,2018-06-09 20:00:00
248,267,2018-06-09 21:00:00
251,228,2018-06-09 22:00:00
254,201,2018-06-09 23:00:00
257,247,2018-06-10 00:00:00
260,204,2018-06-10 01:00:00
263,197,2018-06-10 02:00:00
266,219,2018-06-10 03:00:00
269,144,2018-06-10 04:00:00
272,55,2018-06-10 05:00:00
275,30,2018-06-10 06:00:00
278,32,2018-06-10 07:00:00
281,129,2018-06-10 08:00:00
284,147,2018-06-10 09:00:00
287,157,2018-06-10 10:00:00
290,233,2018-06-10 11:00:00
293,287,2018-06-10 12:00:00
296,354,2018-06-10 13:00:00
299,366,2018-06-10 14:00:00
302,381,2018-06-10 15:00:00
305,427,2018-06-10 16:00:00
308,375,2018-06-10 17:00:00
311,415,2018-06-10 18:00:00
314,348,2018-06-10 19:00:00
317,286,2018-06-10 20:00:00
320,392,2018-06-10 21:00:00
323,231,2018-06-10 22:00:00
326,198,2018-06-10 23:00:00
329,157,2018-06-11 00:00:00
332,38,2018-06-11 01:00:00
335,27,2018-06-11 02:00:00
338,31,2018-06-11 03:00:00
341,18,2018-06-11 04:00:00
344,20,2018-06-11 05:00:00
347,39,2018-06-11 06:00:00
350,200,2018-06-11 07:00:00
353,563,2018-06-11 08:00:00
356,763,2018-06-11 09:00:00
359,570,2018-06-11 10:00:00
362,647,2018-06-11 11:00:00
365,634,2018-06-11 12:00:00
368,682,2018-06-11 13:00:00
371,639,2018-06-11 14:00:00
374,642,2018-06-11 15:00:00
377,761,2018-06-11 16:00:00
380,704,2018-06-11 17:00:00
383,535,2018-06-11 18:00:00
386,435,2018-06-11 19:00:00
389,351,2018-06-11 20:00:00
392,296,2018-06-11 21:00:00
395,207,2018-06-11 22:00:00
398,149,2018-06-11 23:00:00
401,109,2018-06-12 00:00:00
404,31,2018-06-12 01:00:00
407,19,2018-06-12 02:00:00
410,16,2018-06-12 03:00:00
413,13,2018-06-12 04:00:00
416,17,2018-06-12 05:00:00
419,47,2018-06-12 06:00:00
422,213,2018-06-12 07:00:00
425,590,2018-06-12 08:00:00
428,824,2018-06-12 09:00:00
431,605,2018-06-12 10:00:00
434,635,2018-06-12 11:00:00
437,708,2018-06-12 12:00:00
440,666,2018-06-12 13:00:00
443,666,2018-06-12 14:00:00
446,703,2018-06-12 15:00:00
449,775,2018-06-12 16:00:00
452,669,2018-06-12 17:00:00
455,634,2018-06-12 18:00:00
458,507,2018-06-12 19:00:00
461,362,2018-06-12 20:00:00
464,412,2018-06-12 21:00:00
467,259,2018-06-12 22:00:00
470,146,2018-06-12 23:00:00
473,78,2018-06-13 00:00:00
476,42,2018-06-13 01:00:00
479,20,2018-06-13 02:00:00
482,16,2018-06-13 03:00:00
485,21,2018-06-13 04:00:00
488,21,2018-06-13 05:00:00
491,44,2018-06-13 06:00:00
494,190,2018-06-13 07:00:00
497,581,2018-06-13 08:00:00
500,789,2018-06-13 09:00:00
503,596,2018-06-13 10:00:00
506,625,2018-06-13 11:00:00
509,667,2018-06-13 12:00:00
512,626,2018-06-13 13:00:00
515,654,2018-06-13 14:00:00
518,743,2018-06-13 15:00:00
521,774,2018-06-13 16:00:00
524,718,2018-06-13 17:00:00
527,572,2018-06-13 18:00:00
530,468,2018-06-13 19:00:00
533,392,2018-06-13 20:00:00
536,351,2018-06-13 21:00:00
539,225,2018-06-13 22:00:00
542,169,2018-06-13 23:00:00
545,129,2018-06-14 00:00:00
548,45,2018-06-14 01:00:00
551,19,2018-06-14 02:00:00
554,23,2018-06-14 03:00:00
557,14,2018-06-14 04:00:00
560,16,2018-06-14 05:00:00
563,58,2018-06-14 06:00:00
566,187,2018-06-14 07:00:00
569,586,2018-06-14 08:00:00
572,740,2018-06-14 09:00:00
575,581,2018-06-14 10:00:00
578,579,2018-06-14 11:00:00
581,693,2018-06-14 12:00:00
