,traffic,Datetime
6,4135,2016-10-21 16:00:00
13,4283,2016-10-21 17:00:00
20,3268,2016-10-21 18:00:00
27,2662,2016-10-21 19:00:00
34,2096,2016-10-21 20:00:00
41,1655,2016-10-21 21:00:00
48,1157,2016-10-21 22:00:00
55,1023,2016-10-21 23:00:00
62,745,2016-10-22 00:00:00
69,548,2016-10-22 01:00:00
76,445,2016-10-22 02:00:00
83,308,2016-10-22 03:00:00
90,261,2016-10-22 04:00:00
97,183,2016-10-22 05:00:00
104,193,2016-10-22 06:00:00
111,358,2016-10-22 07:00:00
118,579,2016-10-22 08:00:00
125,1047,2016-10-22 09:00:00
132,1547,2016-10-22 10:00:00
139,2248,2016-10-22 11:00:00
146,2902,2016-10-22 12:00:00
153,3141,2016-10-22 13:00:00
160,3013,2016-10-22 14:00:00
167,3260,2016-10-22 15:00:00
174,3038,2016-10-22 16:00:00
181,2784,2016-10-22 17:00:00
188,2701,2016-10-22 18:00:00
195,2425,2016-10-22 19:00:00
202,1716,2016-10-22 20:00:00
209,1244,2016-10-22 21:00:00
216,920,2016-10-22 22:00:00
223,835,2016-10-22 23:00:00
230,693,2016-10-23 00:00:00
237,676,2016-10-23 01:00:00
244,557,2016-10-23 02:00:00
251,513,2016-10-23 03:00:00
258,403,2016-10-23 04:00:00
265,235,2016-10-23 05:00:00
272,158,2016-10-23 06:00:00
279,212,2016-10-23 07:00:00
286,376,2016-10-23 08:00:00
293,395,2016-10-23 09:00:00
300,806,2016-10-23 10:00:00
307,1196,2016-10-23 11:00:00
314,1708,2016-10-23 12:00:00
321,2021,2016-10-23 13:00:00
328,2100,2016-10-23 14:00:00
335,2562,2016-10-23 15:00:00
342,3074,2016-10-23 16:00:00
349,3120,2016-10-23 17:00:00
356,3133,2016-10-23 18:00:00
363,2639,2016-10-23 19:00:00
370,2434,2016-10-23 20:00:00
377,3077,2016-10-23 21:00:00
384,1388,2016-10-23 22:00:00
391,943,2016-10-23 23:00:00
398,483,2016-10-24 00:00:00
405,255,2016-10-24 01:00:00
412,130,2016-10-24 02:00:00
419,91,2016-10-24 03:00:00
426,140,2016-10-24 04:00:00
433,196,2016-10-24 05:00:00
440,674,2016-10-24 06:00:00
447,2782,2016-10-24 07:00:00
454,4311,2016-10-24 08:00:00
461,3721,2016-10-24 09:00:00
468,2946,2016-10-24 10:00:00
475,2944,2016-10-24 11:00:00
482,2876,2016-10-24 12:00:00
489,3090,2016-10-24 13:00:00
496,3292,2016-10-24 14:00:00
503,3820,2016-10-24 15:00:00
510,5395,2016-10-24 16:00:00
517,4401,2016-10-24 17:00:00
524,3041,2016-10-24 18:00:00
531,2707,2016-10-24 19:00:00
538,2334,2016-10-24 20:00:00
545,1987,2016-10-24 21:00:00
552,1473,2016-10-24 22:00:00
559,974,2016-10-24 23:00:00
566,507,2016-10-25 00:00:00
573,226,2016-10-25 01:00:00
580,129,2016-10-25 02:00:00
587,65,2016-10-25 03:00:00
594,95,2016-10-25 04:00:00
601,193,2016-10-25 05:00:00
608,628,2016-10-25 06:00:00
615,2574,2016-10-25 07:00:00
622,4296,2016-10-25 08:00:00
629,3826,2016-10-25 09:00:00
636,2843,2016-10-25 10:00:00
643,2837,2016-10-25 11:00:00
650,2886,2016-10-25 12:00:00
657,3085,2016-10-25 13:00:00
664,3228,2016-10-25 14:00:00
671,4000,2016-10-25 15:00:00
678,5311,2016-10-25 16:00:00
685,4475,2016-10-25 17:00:00
692,3270,2016-10-25 18:00:00
699,2693,2016-10-25 19:00:00
706,2499,2016-10-25 20:00:00
713,2083,2016-10-25 21:00:00
720,1611,2016-10-25 22:00:00
727,1071,2016-10-25 23:00:00
734,569,2016-10-26 00:00:00
741,240,2016-10-26 01:00:00
748,160,2016-10-26 02:00:00
755,103,2016-10-26 03:00:00
762,114,2016-10-26 04:00:00
769,190,2016-10-26 05:00:00
776,568,2016-10-26 06:00:00
783,2559,2016-10-26 07:00:00
790,4402,2016-10-26 08:00:00
797,3569,2016-10-26 09:00:00
804,2804,2016-10-26 10:00:00
811,2855,2016-10-26 11:00:00
818,2959,2016-10-26 12:00:00
825,3196,2016-10-26 13:00:00
832,3389,2016-10-26 14:00:00
839,4146,2016-10-26 15:00:00
846,5490,2016-10-26 16:00:00
853,4593,2016-10-26 17:00:00
860,3223,2016-10-26 18:00:00
867,3059,2016-10-26 19:00:00
874,2929,2016-10-26 20:00:00
881,1809,2016-10-26 21:00:00
888,1471,2016-10-26 22:00:00
895,2075,2016-10-26 23:00:00
902,598,2016-10-27 00:00:00
909,259,2016-10-27 01:00:00
916,159,2016-10-27 02:00:00
923,107,2016-10-27 03:00:00
930,127,2016-10-27 04:00:00
937,190,2016-10-27 05:00:00
944,594,2016-10-27 06:00:00
951,2666,2016-10-27 07:00:00
958,4428,2016-10-27 08:00:00
965,3702,2016-10-27 09:00:00
972,2836,2016-10-27 10:00:00
979,2800,2016-10-27 11:00:00
986,3051,2016-10-27 12:00:00
993,3240,2016-10-27 13:00:00
1000,3449,2016-10-27 14:00:00
1007,4184,2016-10-27 15:00:00
1014,5456,2016-10-27 16:00:00
1021,4743,2016-10-27 17:00:00
1028,3248,2016-10-27 18:00:00
1035,2961,2016-10-27 19:00:00
1042,2464,2016-10-27 20:00:00
1049,2109,2016-10-27 21:00:00
1056,1661,2016-10-27 22:00:00
1063,1230,2016-10-27 23:00:00
1070,641,2016-10-28 00:00:00
1077,254,2016-10-28 01:00:00
1084,182,2016-10-28 02:00:00
1091,107,2016-10-28 03:00:00
1098,143,2016-10-28 04:00:00
1105,209,2016-10-28 05:00:00
1112,655,2016-10-28 06:00:00
1119,2540,2016-10-28 07:00:00
1126,4301,2016-10-28 08:00:00
1133,3757,2016-10-28 09:00:00
1140,2860,2016-10-28 10:00:00
1147,3063,2016-10-28 11:00:00
1154,3327,2016-10-28 12:00:00
1161,3417,2016-10-28 13:00:00
1168,3710,2016-10-28 14:00:00
1175,4315,2016-10-28 15:00:00
1182,5278,2016-10-28 16:00:00
1189,4192,2016-10-28 17:00:00
1196,3080,2016-10-28 18:00:00
1203,2504,2016-10-28 19:00:00
1210,2022,2016-10-28 20:00:00
1217,1521,2016-10-28 21:00:00
1224,1115,2016-10-28 22:00:00
1231,986,2016-10-28 23:00:00
1238,824,2016-10-29 00:00:00
1245,577,2016-10-29 01:00:00
1252,432,2016-10-29 02:00:00
1259,359,2016-10-29 03:00:00
1266,296,2016-10-29 04:00:00
1273,198,2016-10-29 05:00:00
1280,177,2016-10-29 06:00:00
1287,343,2016-10-29 07:00:00
1294,563,2016-10-29 08:00:00
1301,906,2016-10-29 09:00:00
1308,1322,2016-10-29 10:00:00
1315,1965,2016-10-29 11:00:00
1322,2632,2016-10-29 12:00:00
