,Brattorbrua,Timestamp,Bakke Kirke,E6 Tiller,Elgeseter Gate
0,78,2018-08-01 00:00:00,0,184,237
1,62,2018-08-01 01:00:00,0,120,150
2,40,2018-08-01 02:00:00,0,67,82
3,18,2018-08-01 03:00:00,0,75,61
4,22,2018-08-01 04:00:00,0,110,73
5,36,2018-08-01 05:00:00,0,266,101
6,137,2018-08-01 06:00:00,0,1033,562
7,351,2018-08-01 07:00:00,0,1490,1140
8,452,2018-08-01 08:00:00,0,1120,1054
9,451,2018-08-01 09:00:00,0,1119,1077
10,506,2018-08-01 10:00:00,0,1216,1335
11,586,2018-08-01 11:00:00,0,1344,1371
12,614,2018-08-01 12:00:00,0,1483,1554
13,648,2018-08-01 13:00:00,0,1599,1626
14,659,2018-08-01 14:00:00,0,1678,1734
15,723,2018-08-01 15:00:00,0,1914,1919
16,658,2018-08-01 16:00:00,0,1688,1549
17,553,2018-08-01 17:00:00,0,1405,1290
18,476,2018-08-01 18:00:00,0,1271,1223
19,319,2018-08-01 19:00:00,0,1474,1181
20,324,2018-08-01 20:00:00,0,1129,1143
21,192,2018-08-01 21:00:00,0,691,696
22,270,2018-08-01 22:00:00,0,520,898
23,333,2018-08-01 23:00:00,0,381,804
24,92,2018-08-02 00:00:00,0,177,278
25,57,2018-08-02 01:00:00,0,122,150
26,30,2018-08-02 02:00:00,0,84,115
27,26,2018-08-02 03:00:00,0,75,86
28,18,2018-08-02 04:00:00,0,107,63
29,32,2018-08-02 05:00:00,0,235,115
30,158,2018-08-02 06:00:00,0,995,542
31,324,2018-08-02 07:00:00,0,1480,1138
32,441,2018-08-02 08:00:00,0,1187,1058
33,437,2018-08-02 09:00:00,0,1132,1103
34,561,2018-08-02 10:00:00,0,1282,1311
35,628,2018-08-02 11:00:00,0,1422,1416
36,632,2018-08-02 12:00:00,0,1505,1414
37,669,2018-08-02 13:00:00,0,1548,1554
38,666,2018-08-02 14:00:00,0,1646,1739
39,671,2018-08-02 15:00:00,0,1809,1767
40,604,2018-08-02 16:00:00,0,1600,1541
41,597,2018-08-02 17:00:00,0,1374,1342
42,499,2018-08-02 18:00:00,0,1220,1150
43,485,2018-08-02 19:00:00,0,1123,1070
44,402,2018-08-02 20:00:00,0,950,955
45,204,2018-08-02 21:00:00,0,742,733
46,230,2018-08-02 22:00:00,0,505,596
47,375,2018-08-02 23:00:00,0,322,761
48,151,2018-08-03 00:00:00,0,226,353
49,85,2018-08-03 01:00:00,0,152,195
50,47,2018-08-03 02:00:00,0,110,166
51,27,2018-08-03 03:00:00,0,77,102
52,18,2018-08-03 04:00:00,0,108,62
53,28,2018-08-03 05:00:00,0,229,102
54,145,2018-08-03 06:00:00,0,980,516
55,353,2018-08-03 07:00:00,0,1467,1097
56,424,2018-08-03 08:00:00,0,1133,1057
57,437,2018-08-03 09:00:00,0,1079,1105
58,574,2018-08-03 10:00:00,0,1313,1203
59,644,2018-08-03 11:00:00,0,1460,1215
60,688,2018-08-03 12:00:00,0,1553,1233
61,704,2018-08-03 13:00:00,0,1595,1242
62,743,2018-08-03 14:00:00,0,1720,1792
63,802,2018-08-03 15:00:00,0,1891,1791
64,753,2018-08-03 16:00:00,0,1607,1480
65,642,2018-08-03 17:00:00,0,1139,1370
66,531,2018-08-03 18:00:00,0,1275,1170
67,441,2018-08-03 19:00:00,0,955,1034
68,464,2018-08-03 20:00:00,0,870,1036
69,211,2018-08-03 21:00:00,0,662,702
70,222,2018-08-03 22:00:00,0,488,670
71,337,2018-08-03 23:00:00,0,379,785
72,168,2018-08-04 00:00:00,0,259,460
73,133,2018-08-04 01:00:00,0,201,384
74,119,2018-08-04 02:00:00,0,183,392
75,55,2018-08-04 03:00:00,0,146,197
76,21,2018-08-04 04:00:00,0,78,93
77,27,2018-08-04 05:00:00,0,99,68
78,39,2018-08-04 06:00:00,0,153,172
79,65,2018-08-04 07:00:00,0,276,327
80,124,2018-08-04 08:00:00,0,374,291
81,256,2018-08-04 09:00:00,0,615,571
82,377,2018-08-04 10:00:00,0,922,884
83,513,2018-08-04 11:00:00,0,1268,1120
84,614,2018-08-04 12:00:00,0,1368,1284
85,648,2018-08-04 13:00:00,0,1325,1256
86,716,2018-08-04 14:00:00,0,1368,1311
87,631,2018-08-04 15:00:00,0,1288,1243
88,597,2018-08-04 16:00:00,0,1155,1158
89,575,2018-08-04 17:00:00,0,1128,1232
90,494,2018-08-04 18:00:00,0,860,1065
91,361,2018-08-04 19:00:00,0,744,853
92,405,2018-08-04 20:00:00,0,633,907
93,250,2018-08-04 21:00:00,0,493,681
94,235,2018-08-04 22:00:00,0,393,669
95,294,2018-08-04 23:00:00,0,326,752
96,209,2018-08-05 00:00:00,0,251,547
97,188,2018-08-05 01:00:00,0,209,457
98,180,2018-08-05 02:00:00,0,215,462
99,95,2018-08-05 03:00:00,0,186,374
100,44,2018-08-05 04:00:00,0,109,148
101,28,2018-08-05 05:00:00,0,71,93
102,42,2018-08-05 06:00:00,0,104,139
103,87,2018-08-05 07:00:00,0,211,289
104,67,2018-08-05 08:00:00,0,192,207
105,132,2018-08-05 09:00:00,0,276,321
106,262,2018-08-05 10:00:00,0,510,587
107,347,2018-08-05 11:00:00,0,614,746
108,415,2018-08-05 12:00:00,0,926,1007
109,384,2018-08-05 13:00:00,0,1009,957
110,460,2018-08-05 14:00:00,0,1243,1252
111,455,2018-08-05 15:00:00,0,1324,1232
112,400,2018-08-05 16:00:00,0,1205,1045
113,449,2018-08-05 17:00:00,0,1294,1130
114,355,2018-08-05 18:00:00,0,1223,939
115,254,2018-08-05 19:00:00,0,1166,928
116,467,2018-08-05 20:00:00,0,1060,1072
117,201,2018-08-05 21:00:00,0,765,691
118,218,2018-08-05 22:00:00,0,493,584
119,216,2018-08-05 23:00:00,0,314,469
120,45,2018-08-06 00:00:00,0,183,180
121,25,2018-08-06 01:00:00,0,97,87
122,22,2018-08-06 02:00:00,0,76,72
123,13,2018-08-06 03:00:00,0,75,75
124,20,2018-08-06 04:00:00,0,124,59
125,62,2018-08-06 05:00:00,0,306,137
126,311,2018-08-06 06:00:00,0,1487,707
127,530,2018-08-06 07:00:00,0,1970,1480
128,518,2018-08-06 08:00:00,0,1503,1393
129,517,2018-08-06 09:00:00,0,1409,1441
130,538,2018-08-06 10:00:00,0,1421,1496
131,565,2018-08-06 11:00:00,0,1563,1538
132,638,2018-08-06 12:00:00,0,1551,1631
133,657,2018-08-06 13:00:00,0,1511,1658
134,661,2018-08-06 14:00:00,0,1659,1796
135,779,2018-08-06 15:00:00,0,2005,1934
136,664,2018-08-06 16:00:00,0,1811,1527
137,470,2018-08-06 17:00:00,0,1401,1249
138,342,2018-08-06 18:00:00,0,1195,1013
139,284,2018-08-06 19:00:00,0,1097,837
140,362,2018-08-06 20:00:00,0,865,982
141,246,2018-08-06 21:00:00,0,735,728
142,231,2018-08-06 22:00:00,0,469,573
143,171,2018-08-06 23:00:00,0,284,415
144,47,2018-08-07 00:00:00,0,145,213
145,22,2018-08-07 01:00:00,0,109,78
146,19,2018-08-07 02:00:00,0,66,59
147,10,2018-08-07 03:00:00,0,70,50
148,25,2018-08-07 04:00:00,0,120,66
149,61,2018-08-07 05:00:00,0,323,143
150,183,2018-08-07 06:00:00,0,1401,669
151,456,2018-08-07 07:00:00,0,1914,1436
152,565,2018-08-07 08:00:00,0,1477,1372
153,520,2018-08-07 09:00:00,0,1305,1389
154,516,2018-08-07 10:00:00,0,1342,1446
155,600,2018-08-07 11:00:00,0,1402,1473
156,576,2018-08-07 12:00:00,0,1428,1564
157,612,2018-08-07 13:00:00,0,1440,1640
158,614,2018-08-07 14:00:00,0,1584,1772
159,746,2018-08-07 15:00:00,0,1964,1885
160,584,2018-08-07 16:00:00,0,1610,1543
161,496,2018-08-07 17:00:00,0,1318,1222
162,419,2018-08-07 18:00:00,0,1168,1076
163,307,2018-08-07 19:00:00,0,1012,868
164,330,2018-08-07 20:00:00,0,921,911
165,274,2018-08-07 21:00:00,0,771,736
166,253,2018-08-07 22:00:00,0,522,613
167,177,2018-08-07 23:00:00,0,283,438
168,56,2018-08-08 00:00:00,0,170,180
169,34,2018-08-08 01:00:00,0,92,91
170,19,2018-08-08 02:00:00,0,64,67
171,10,2018-08-08 03:00:00,0,84,62
172,21,2018-08-08 04:00:00,0,108,57
173,78,2018-08-08 05:00:00,0,303,153
174,183,2018-08-08 06:00:00,0,1381,682
175,477,2018-08-08 07:00:00,0,1949,1357
176,579,2018-08-08 08:00:00,0,1519,1418
177,497,2018-08-08 09:00:00,0,1272,1468
178,560,2018-08-08 10:00:00,0,1363,1510
179,600,2018-08-08 11:00:00,0,1475,1521
180,613,2018-08-08 12:00:00,0,1430,1610
181,645,2018-08-08 13:00:00,0,1562,1673
182,692,2018-08-08 14:00:00,0,1574,1777
183,731,2018-08-08 15:00:00,0,1936,1788
184,637,2018-08-08 16:00:00,0,1754,1646
185,506,2018-08-08 17:00:00,0,1369,1235
186,401,2018-08-08 18:00:00,0,1213,1045
187,326,2018-08-08 19:00:00,0,1172,920
188,355,2018-08-08 20:00:00,0,939,940
189,213,2018-08-08 21:00:00,0,761,721
190,190,2018-08-08 22:00:00,0,476,605
191,156,2018-08-08 23:00:00,0,275,459
192,52,2018-08-09 00:00:00,0,155,168
193,24,2018-08-09 01:00:00,0,100,101
194,27,2018-08-09 02:00:00,0,70,77
195,22,2018-08-09 03:00:00,0,83,73
196,17,2018-08-09 04:00:00,0,98,63
197,45,2018-08-09 05:00:00,0,292,136
198,169,2018-08-09 06:00:00,0,1278,614
199,478,2018-08-09 07:00:00,0,1955,1460
200,578,2018-08-09 08:00:00,0,1512,1457
201,554,2018-08-09 09:00:00,0,1239,1365
202,584,2018-08-09 10:00:00,0,1346,1471
203,618,2018-08-09 11:00:00,0,1442,1607
204,636,2018-08-09 12:00:00,0,1562,1628
205,599,2018-08-09 13:00:00,0,1600,1723
206,685,2018-08-09 14:00:00,0,1693,1786
207,791,2018-08-09 15:00:00,0,2000,2010
208,668,2018-08-09 16:00:00,0,1771,1661
209,573,2018-08-09 17:00:00,0,1414,1328
210,464,2018-08-09 18:00:00,0,1339,1073
211,346,2018-08-09 19:00:00,0,1239,998
212,395,2018-08-09 20:00:00,0,1105,989
213,234,2018-08-09 21:00:00,0,828,793
214,211,2018-08-09 22:00:00,0,541,643
215,178,2018-08-09 23:00:00,0,313,465
216,62,2018-08-10 00:00:00,0,177,216
217,36,2018-08-10 01:00:00,0,128,147
218,26,2018-08-10 02:00:00,0,101,94
219,13,2018-08-10 03:00:00,0,95,76
220,21,2018-08-10 04:00:00,0,112,75
221,32,2018-08-10 05:00:00,0,259,117
222,170,2018-08-10 06:00:00,0,1286,667
223,508,2018-08-10 07:00:00,0,1920,1488
224,623,2018-08-10 08:00:00,0,1479,1447
225,553,2018-08-10 09:00:00,0,1276,1441
226,639,2018-08-10 10:00:00,0,1375,1536
227,688,2018-08-10 11:00:00,0,1529,1634
228,693,2018-08-10 12:00:00,0,1576,1739
229,774,2018-08-10 13:00:00,0,1667,1807
230,840,2018-08-10 14:00:00,0,1844,2038
231,865,2018-08-10 15:00:00,0,2080,2148
232,767,2018-08-10 16:00:00,0,1841,1799
233,625,2018-08-10 17:00:00,0,1443,1464
234,535,2018-08-10 18:00:00,0,1330,1228
235,434,2018-08-10 19:00:00,0,1092,1046
236,515,2018-08-10 20:00:00,0,821,1105
237,293,2018-08-10 21:00:00,0,630,784
238,274,2018-08-10 22:00:00,0,469,751
239,327,2018-08-10 23:00:00,0,359,670
240,316,2018-08-11 00:00:00,0,331,587
241,138,2018-08-11 01:00:00,0,183,362
242,181,2018-08-11 02:00:00,0,177,391
243,77,2018-08-11 03:00:00,0,131,232
244,22,2018-08-11 04:00:00,0,100,110
245,34,2018-08-11 05:00:00,0,98,88
246,42,2018-08-11 06:00:00,0,174,211
247,78,2018-08-11 07:00:00,0,260,350
248,132,2018-08-11 08:00:00,0,364,401
249,306,2018-08-11 09:00:00,0,616,609
250,452,2018-08-11 10:00:00,0,1016,908
251,579,2018-08-11 11:00:00,0,1361,1325
252,691,2018-08-11 12:00:00,0,1582,1553
253,708,2018-08-11 13:00:00,0,1628,1523
254,762,2018-08-11 14:00:00,0,1499,1683
255,843,2018-08-11 15:00:00,0,1510,1656
256,697,2018-08-11 16:00:00,0,1346,1463
257,591,2018-08-11 17:00:00,0,1280,1407
258,526,2018-08-11 18:00:00,0,1153,1227
259,468,2018-08-11 19:00:00,0,928,1057
260,399,2018-08-11 20:00:00,0,729,970
261,308,2018-08-11 21:00:00,0,516,829
262,378,2018-08-11 22:00:00,0,472,864
263,364,2018-08-11 23:00:00,0,389,809
264,327,2018-08-12 00:00:00,0,359,686
265,209,2018-08-12 01:00:00,0,255,475
266,208,2018-08-12 02:00:00,0,218,582
267,166,2018-08-12 03:00:00,0,190,437
268,45,2018-08-12 04:00:00,0,120,176
269,22,2018-08-12 05:00:00,0,71,101
270,44,2018-08-12 06:00:00,0,120,172
271,82,2018-08-12 07:00:00,0,205,298
272,76,2018-08-12 08:00:00,0,186,249
273,160,2018-08-12 09:00:00,0,336,406
274,255,2018-08-12 10:00:00,0,527,743
275,344,2018-08-12 11:00:00,0,792,974
276,425,2018-08-12 12:00:00,0,1067,1206
277,409,2018-08-12 13:00:00,0,1182,1127
278,432,2018-08-12 14:00:00,0,1567,1419
279,465,2018-08-12 15:00:00,0,1505,1415
280,457,2018-08-12 16:00:00,0,1612,1267
281,457,2018-08-12 17:00:00,0,1774,1425
282,365,2018-08-12 18:00:00,0,1331,1019
283,280,2018-08-12 19:00:00,0,1223,997
284,442,2018-08-12 20:00:00,0,1209,1269
285,213,2018-08-12 21:00:00,0,872,803
286,185,2018-08-12 22:00:00,0,602,606
287,165,2018-08-12 23:00:00,0,300,421
288,48,2018-08-13 00:00:00,0,180,168
289,23,2018-08-13 01:00:00,0,127,122
290,32,2018-08-13 02:00:00,0,61,74
291,19,2018-08-13 03:00:00,0,62,55
292,17,2018-08-13 04:00:00,0,131,70
293,43,2018-08-13 05:00:00,0,354,152
294,213,2018-08-13 06:00:00,0,1594,752
295,543,2018-08-13 07:00:00,0,2332,1733
296,664,2018-08-13 08:00:00,0,1744,1706
